code,name,goup,ig_type
E198,Perruche callopsitte ; protéines,Animaux,IgE
e199,Canari ; protéines sériques,Animaux,IgE
e2,Chien (Epithelium),Animaux,IgG
e2,Chien ; epithelium,Animaux,IgE
e2,Chien ; epithelium,Animaux,IgG4
e200,Canari ; déjections,Animaux,IgE
e201,Canari ; plumes,Animaux,IgE
e202,Renne ; epithelium,Animaux,IgE
e203,Vison ; epithelium,Animaux,IgE
e204,Sérum albumine bovine,Animaux,IgE
e204,Sérum albumine bovine,Animaux,IgG
e205,Cheval ; protéines du serum,Animaux,IgE
e206,Lapin ; protéines du serum,Animaux,IgE
e208,Chinchilla,Animaux,IgE
e209,Gerbille,Animaux,IgE
e210,Renard,Animaux,IgE
e211,Lapin ; protéines urinaires,Animaux,IgE
e212,Cochon ; protéines urinaires,Animaux,IgE
e213,Perroquet ; plumes,Animaux,IgE
e214,Pinson ; plumes,Animaux,IgE
e215,PIgE,Animaux,IgE
e216,Cerf ; epithelium,Animaux,IgE
e217,Furet ; epithelium,Animaux,IgE
e218,Poulet ; fientes,Animaux,IgE
e219,Poulet ; protéines du serum,Animaux,IgE
e220,Chat ; albumine sérique,Animaux,IgE
e221,Chien ; albumine sérique,Animaux,IgE
e222,Porc ; albumine sérique,Animaux,IgE
e3,Cheval ; squames,Animaux,IgG
e3,Cheval ; squames,Animaux,IgE
e3,Cheval (Poils et squames),Animaux,IgG4
e4,Vache ; squames,Animaux,IgE
e5,Chien,Animaux,IgG4
e5,Chien,Animaux,IgG
e5,Chien ; squames,Animaux,IgE
e6,Cobaye ; epithelium,Animaux,IgE
e7,PIgE,Animaux,IgE
e70,Plumes d&rsquo;oie,Animaux,IgG
e70,Oie ; plumes,Animaux,IgE
e71,Souris ; epithelium,Animaux,IgE
e72,Souris ; protéines urinaires,Animaux,IgE
e73,Rat ; epithelium,Animaux,IgE
e74,Rat ; protéines urinaires,Animaux,IgE
e75,Rat ; protéines du sérum,Animaux,IgE
e76,Souris ; protéines du serum,Animaux,IgE
e77,Perruche ; déjections,Animaux,IgE
e78,Perruche ; plumes,Animaux,IgE
e79,Perruche ; protéines du serum,Animaux,IgE
e80,Chèvre(épithélia),Animaux,IgG4
e80,Chèvre ; epithelium,Animaux,IgE
e81,Mouton ; epithelium,Animaux,IgE
e82,Lapin ; epithelium,Animaux,IgE
e83,Porc ; epithelium,Animaux,IgE
e84,Hamster ; epithelium,Animaux,IgE
e84,Hamster (squames),Animaux,IgG
e85,Poulet ; plumes,Animaux,IgE
e86,Canard ; plumes,Animaux,IgE
e87,Rat ; epithelium + protéines,Animaux,IgE
e88,Souris ; epithelium + protéines,Animaux,IgE
e89,Dinde ; plumes,Animaux,IgE
e94,rFel d 1 Felis domesticus ; recombinant,Animaux,IgE
fx1,"Noix ; f13, f17, f18, f20, f36",Mélanges d’aliments,IgE
fx10,"Viandes ; f27, f26, f75, f83, f284",Mélanges d’aliments,IgE
fx11,"Légumes ; f8, f12, f15, f31, f206",Mélanges d’aliments,IgE
fx13,"Légumes ; f12, f15, f31, f35",Mélanges d’aliments,IgE
fx14,Mélange légumes,Mélanges d’aliments,IgE
fx15,"Fruits ; f33, f49, f92, f95",Mélanges d’aliments,IgE
fx16,"Fruits ; f44, f94, f208, f210",Mélanges d’aliments,IgE
fx17,"Fruits ; f49, f92, f94, f95",Mélanges d’aliments,IgE
fx18,"Aliments ; f12, f13, f14",Mélanges d’aliments,IgE
fx19,"Légumes ; f31, f35, f214, f244",Mélanges d’aliments,IgE
fx2,"Produits de la mer ; f3, f24, f40, f41, f37",Mélanges d’aliments,IgE
fx20,"Céréales ; f4, f5, f6, f9",Mélanges d’aliments,IgE
fx21,"Fruits ; f84, f87, f92, f95, f210",Mélanges d’aliments,IgE
fx22,"Noix de pécan,noix de cajou,pistache,noix",Mélanges d’aliments,IgG
fx22,"Fruits secs ; f201, f202, f203, f256",Mélanges d’aliments,IgE
fx23,"Trophatop 3 ; f26, f27, f83, f284",Mélanges d’aliments,IgE
fx24,"Trophatop 2 ; f17, F24, F84, F92",Mélanges d’aliments,IgE
fx25,"Trophatop 4 ; f10, f45, f47, f85",Mélanges d’aliments,IgE
fx26,"Trophatop (Blanc d&rsquo;oeuf,lait,arachide,moutarde)",Mélanges d’aliments,IgE
fx27,"Trophatop (Poisson,noisette,soja,blé)",Mélanges d’aliments,IgE
fx28,"Trophatop (Crevette,kiwi,boeuf,sésame)",Mélanges d’aliments,IgE
fx29,"Mélange Orange, Citron, Mandarine, Pamplemousse",Mélanges d’aliments,IgE
fx3,"Farines ; f4, f7, f8, f10, f11",Mélanges d’aliments,IgE
fx30,"Fruits (Kiwi, Mangue, Banane, Avocat, Papaye)",Mélanges d’aliments,IgE
fx31,"Fruits (Pomme, Poire, Pêche, Cerise, Prune)",Mélanges d’aliments,IgE
fx32,"Légumes (Lentille, Pois, Haricot blanc, Caroube)",Mélanges d’aliments,IgE
fx7,"Légumes ; f25, f48, f47, f45, f85",Mélanges d’aliments,IgE
fx70,"Aromates ; f272, f274, f273, f275",Mélanges d’aliments,IgE
fx71,"Aromates ; f265, f266, f267, f268",Mélanges d’aliments,IgE
fx72,"Aromates ; f269, f219, f270, f271",Mélanges d’aliments,IgE
fx73,"Viandes ; f26, f27, f83",Mélanges d’aliments,IgE
fx74,"Poissons ; f206, f205, f3, f254",Mélanges d’aliments,IgE
fx8,"Fruits ; f49, f17, f18, f33, f93",Mélanges d’aliments,IgE
fx9,"Fruits exotiques ; f84, f87, f92, f259, f20",Mélanges d’aliments,IgE
f1,Blanc d&rsquo;oeuf,Aliments d’origine animale,IgG4
f1,Blanc d&rsquo;oeuf,Aliments d’origine animale,IgG
f1,Oeuf ; blanc,Aliments d’origine animale,IgE
f10,Sésame ; graine ; aliment,Aliments d’origine végétale,IgE
f11,Sarrasin ; graine ; aliment,Aliments d’origine végétale,IgE
f118,Courgette,Aliments d’origine végétale,IgE
f119,Radis,Aliments d’origine végétale,IgE
f12,Pois ; graine,Aliments d’origine végétale,IgE
f12,Pois,Aliments d’origine végétale,IgG4
f13,Arachide,Aliments d’origine végétale,IgG
f13,Arachide,Aliments d’origine végétale,IgE
f13,Arachide,Aliments d’origine végétale,IgG4
f14,Soja,Aliments d’origine végétale,IgG4
f14,Soja,Aliments d’origine végétale,IgE
f14,Soja,Aliments d’origine végétale,IgG
f15,Haricot blanc,Aliments d’origine végétale,IgE
f17,Noisette,Aliments d’origine végétale,IgG4
f17,Noisette,Aliments d’origine végétale,IgE
f178,Rhubarbe,Aliments d’origine végétale,IgE
f18,Noix du Brésil,Aliments d’origine végétale,IgE
f182,Haricot de Lima,Aliments d’origine végétale,IgE
f2,Lait de vache,Aliments d’origine animale,IgG4
f2,Lait de vache,Aliments d’origine végétale,IgE
f20,Amande,Aliments d’origine végétale,IgG
f20,Amande,Aliments d’origine végétale,IgE
f201,Noix de pécan,Aliments d’origine végétale,IgE
f202,Noix de cajou,Aliments d’origine végétale,IgE
f203,Pistache,Aliments d’origine végétale,IgE
f204,Truite,Aliments d’origine animale,IgE
f205,Hareng,Aliments d’origine animale,IgE
f206,Maquereau,Aliments d’origine animale,IgE
f207,Palourde,Aliments d’origine animale,IgE
f208,Citron,Aliments d’origine végétale,IgE
f208,Citron,Aliments d’origine végétale,IgG
f209,Pamplemousse,Aliments d’origine végétale,IgE
f210,Ananas,Aliments d’origine végétale,IgE
f210,Ananas,Aliments d’origine végétale,IgG
f211,Mûre,Aliments d’origine végétale,IgE
f212,Champignon,Aliments d’origine végétale,IgE
f213,Lapin ; viande,Aliments d’origine animale,IgE
f214,Epinard,Aliments d’origine végétale,IgE
f215,Laitue,Aliments d’origine végétale,IgE
f216,Chou,Aliments d’origine végétale,IgE
f217,Chou de Bruxelles,Aliments d’origine végétale,IgE
f218,Paprika,Aliments d’origine végétale,IgE
f219,Fenouil ; graine,Aliments d’origine végétale,IgE
f22,Framboise,Aliments d’origine végétale,IgE
f220,Cannelle,Aliments d’origine végétale,IgE
f221,Café,Aliments d’origine végétale,IgG
f221,Café,Aliments d’origine végétale,IgE
f222,Thé,Aliments d’origine végétale,IgE
f222,Thé,Aliments d’origine végétale,IgG
f224,Pavot ; graine ; aliment,Aliments d’origine végétale,IgE
f225,Potiron Citrouille,Aliments d’origine végétale,IgE
f226,Citrouille ; graine ; aliment,Aliments d’origine végétale,IgE
f227,Bettrave à sucre,Aliments d’origine végétale,IgG4
f227,Bettrave à sucre,Aliments d’origine végétale,IgG
f227,Bettrave à sucre ; graine ; aliment,Aliments d’origine végétale,IgE
f23,Crabe,Aliments d’origine animale,IgE
f231,Lait bouilli,Aliments d’origine animale,IgE
f232,Ovalbumine,Aliments d’origine animale,IgE
f232,Ovalbumine,Aliments d’origine animale,IgG4
f232,Ovalbumine,Aliments d’origine animale,IgG
f233,Ovomucoïde,Aliments d’origine animale,IgE
f234,Vanille,Aliments d’origine végétale,IgE
f235,Lentille,Aliments d’origine végétale,IgE
f235,Lentilles,Aliments d’origine végétale,IgG4
f236,Petit lait,Aliments d’origine animale,IgE
f237,Abricot,Aliments d’origine végétale,IgE
f24,Crevette,Aliments d’origine animale,IgE
f24,Crevette,Aliments d’origine animale,IgG4
f242,Cerise,Aliments d’origine végétale,IgE
f244,Concombre,Aliments d’origine végétale,IgE
f245,Oeuf entier,Aliments d’origine animale,IgE
f245,Oeuf,Aliments d’origine animale,IgG4
f245,Oeuf,Aliments d’origine animale,IgG
f246,Gomme de guar ; Agar,Aliments d’origine végétale,IgE
f247,Miel,Aliments d’origine animale,IgE
f248,Romarin,Aliments d’origine végétale,IgE
f25,Tomate,Aliments d’origine végétale,IgG4
f25,Tomate,Aliments d’origine végétale,IgE
f253,Pignon de pin,Aliments d’origine végétale,IgE
f254,Limande ; carrelet,Aliments d’origine animale,IgE
f255,Prune,Aliments d’origine végétale,IgE
f256,Noix,Aliments d’origine végétale,IgE
f258,Calamar,Aliments d’origine animale,IgE
f259,Raisin,Aliments d’origine végétale,IgE
f26,Porc,Aliments d’origine animale,IgG4
f26,Porc,Aliments d’origine animale,IgE
f26,Porc,Aliments d’origine animale,IgG
f260,Brocolis,Aliments d’origine végétale,IgE
f261,Asperge,Aliments d’origine végétale,IgE
f262,Aubergine,Aliments d’origine végétale,IgE
f263,Poivre vert,Aliments d’origine végétale,IgE
f264,Anguille,Aliments d’origine animale,IgE
f265,Cumin,Aliments d’origine végétale,IgE
f266,Muscade ; fleur ; aliment,Aliments d’origine végétale,IgE
f267,Cardamome,Aliments d’origine végétale,IgE
f268,Clou de girofle,Aliments d’origine végétale,IgE
f269,Basilic,Aliments d’origine végétale,IgE
f27,Boeuf,Aliments d’origine animale,IgG4
f27,Boeuf,Aliments d’origine animale,IgG
f27,Boeuf,Aliments d’origine animale,IgE
f270,Gingembre,Aliments d’origine végétale,IgE
f271,Anis,Aliments d’origine végétale,IgE
f272,Estragon,Aliments d’origine végétale,IgE
f273,Thym,Aliments d’origine végétale,IgE
f274,Marjolaine,Aliments d’origine végétale,IgE
f275,Livèche,Aliments d’origine végétale,IgE
f276,Fenouil,Aliments d’origine végétale,IgE
f277,Aneth,Aliments d’origine végétale,IgE
f278,Feuille de laurier,Aliments d’origine végétale,IgE
f279,Piment,Aliments d’origine végétale,IgE
f280,Poivre noir,Aliments d’origine végétale,IgG
f280,Poivre noir,Aliments d’origine végétale,IgE
f281,Curry,Aliments d’origine végétale,IgE
f282,Noix de muscade,Aliments d’origine végétale,IgE
f283,Origan,Aliments d’origine végétale,IgE
f284,Dinde ; viande,Aliments d’origine animale,IgE
f285,Elan ; viande,Aliments d’origine animale,IgE
f286,Lait de jument,Aliments d’origine animale,IgE
f287,Haricot rouge,Aliments d’origine végétale,IgE
f288,Airelle,Aliments d’origine végétale,IgE
f289,Datte,Aliments d’origine végétale,IgE
f290,Huître,Aliments d’origine animale,IgE
f291,Chou fleur,Aliments d’origine végétale,IgE
f292,Goyave,Aliments d’origine végétale,IgE
f293,Papaye,Aliments d’origine végétale,IgE
f294,Fruit de la passion,Aliments d’origine végétale,IgE
f295,Carrambole,Aliments d’origine végétale,IgE
f296,Caroube,Aliments d’origine végétale,IgE
f297,Gomme arabique,Aliments d’origine végétale,IgE
f298,Gomme tragacanthe,Aliments d’origine végétale,IgE
f299,Châtaigne ; aliment,Aliments d’origine végétale,IgE
f3,Poisson ; morue,Aliments d’origine animale,IgG
f3,Poisson ; morue,Aliments d’origine animale,IgG4
f3,Poisson ; morue,Aliments d’origine animale,IgE
f300,Lait de chèvre,Aliments d’origine animale,IgE
f300,Lait de chèvre,Aliments d’origine animale,IgG
f301,Kaki,Aliments d’origine végétale,IgE
f303,Flétan,Aliments d’origine animale,IgE
f304,Langouste,Aliments d’origine animale,IgE
f305,Fenu grec,Aliments d’origine végétale,IgE
f306,Citron vert ; lime,Aliments d’origine végétale,IgE
f307,"Merluche ; Merlu, colin",Aliments d’origine animale,IgE
f308,Sardine ; S. pilchardus,Aliments d’origine animale,IgE
f309,Pois chiche,Aliments d’origine végétale,IgE
f31,Carotte,Aliments d’origine végétale,IgG4
f31,Carotte,Aliments d’origine végétale,IgE
f310,Vesce bleu,Aliments d’origine végétale,IgE
f311,Limande,Aliments d’origine animale,IgE
f312,Espadon,Aliments d’origine animale,IgE
f313,Anchois,Aliments d’origine animale,IgE
f314,Escargot ; helix aspersa,Aliments d’origine animale,IgE
f315,Haricot vert,Aliments d’origine végétale,IgE
f316,Colza ; graine ; aliment,Aliments d’origine végétale,IgE
f317,Coriandre,Aliments d’origine végétale,IgE
f318,Arbre à pain ; fruit,Aliments d’origine végétale,IgE
f319,Betterave ; potagère,Aliments d’origine végétale,IgE
f320,Ecrevisse,Aliments d’origine animale,IgE
f321,Cheval ; viande,Aliments d’origine animale,IgE
f322,Groseille,Aliments d’origine végétale,IgE
f323,Conalbumine,Aliments d’origine animale,IgE
f324,Houblon,Aliments d’origine végétale,IgE
f325,Lait de brebis,Aliments d’origine animale,IgE
f326,Petit lait de brebis,Aliments d’origine animale,IgE
f328,Figue,Aliments d’origine végétale,IgE
f329,Pastèque,Aliments d’origine végétale,IgE
f33,Orange,Aliments d’origine végétale,IgG
f33,Orange,Aliments d’origine végétale,IgG4
f33,Orange,Aliments d’origine végétale,IgE
f331,Safran,Aliments d’origine végétale,IgE
f332,Menthe,Aliments d’origine végétale,IgE
f333,Lin ; graines ; aliment,Aliments d’origine végétale,IgE
f334g,Lactoferrine bovine,Aliments d’origine animale,IgG
f335,Lupin ; graines ; aliment,Aliments d’origine végétale,IgE
f337,Sole,Aliments d’origine animale,IgE
f338,Coquille St Jacques,Aliments d’origine animale,IgE
f340,Rouge Carmin ; cochenille,Aliments d’origine animale,IgE
f341,Canneberge,Aliments d’origine végétale,IgE
f342,Olive noire,Aliments d’origine végétale,IgE
f343,Framboise,Aliments d’origine végétale,IgE
f344,Sauge,Aliments d’origine végétale,IgE
f345,Noix de macadamia,Aliments d’origine végétale,IgE
f346,Ormeau,Aliments d’origine animale,IgE
f347,Quinoa,Aliments d’origine végétale,IgE
f347,Quinoa,Aliments d’origine végétale,IgG4
f348,Litchi,Aliments d’origine végétale,IgE
f35,Pomme de terre,Aliments d’origine végétale,IgE
f35,Pomme de terre,Aliments d’origine végétale,IgG
f351,Crevette rPen a 1 Tropomyosine (recombinant),Aliments d’origine animale,IgE
f352,rAra h 8 Arachis hypogaea ; recombinant,Aliments d’origine végétale,IgE
f353,rGly m 4 Glycine max ; recombinant,Aliments d’origine végétale,IgE
f354,Noix du Brésil recombinant (rBer e1),Aliments d’origine végétale,IgE
f355,rCyp c1 Parvalbumine ; recombinant,Aliments d’origine animale,IgE
f356,Cassis,Aliments d’origine végétale,IgE
f358,Artichaut,Aliments d’origine végétale,IgE
f36,Noix de coco,Aliments d’origine végétale,IgE
f37,Moule,Aliments d’origine animale,IgE
f4,Blé ; aliment,Aliments d’origine végétale,IgE
f4,Blé,Aliments d’origine végétale,IgG4
f4,Blé ; aliment,Aliments d’origine végétale,IgG
f40,Thon,Aliments d’origine animale,IgE
f41,Saumon,Aliments d’origine animale,IgE
f41,Saumon,Aliments d’origine animale,IgG4
f412,Empereur,Aliments d’origine animale,IgE
f413,Lieu noir,Aliments d’origine animale,IgE
f416,rTri a 19 Oméga-5 gliadine,Aliments d’origine végétale,IgE
f419,rPru p 1 Pêche ; recombinant ,Aliments d’origine végétale,IgE
f420,rPru p 3 Pêche ; recombinant ,Aliments d’origine végétale,IgE
f421,rPru p 4 Pêche ; recombinant ,Aliments d’origine végétale,IgE
f422,r Ara h 1 Arachis hypogaea ; recombinant,Aliments d’origine végétale,IgE
f423,r Ara h 2 Arachis hypogaea ; recombinant,Aliments d’origine végétale,IgE
f424,r Ara h 3 Arachis hypogaea ; recombinant,Aliments d’origine végétale,IgE
f44,Fraise,Aliments d’origine végétale,IgG4
f44,Fraise,Aliments d’origine végétale,IgE
f45,Levure de bière,Aliments d’origine végétale,IgE
f47,Ail,Aliments d’origine végétale,IgG
f47,Ail,Aliments d’origine végétale,IgE
f47,Ail,Aliments d’origine végétale,IgG4
f48,Oignon,Aliments d’origine végétale,IgE
f49,Pomme,Aliments d’origine végétale,IgG4
f49,Pomme,Aliments d’origine végétale,IgG
f49,Pomme,Aliments d’origine végétale,IgE
f5,Seigle,Aliments d’origine végétale,IgG
f5,Seigle,Aliments d’origine végétale,IgE
f50,Maquereau du pacifique,Aliments d’origine animale,IgE
f51,Pousse de bambou,Aliments d’origine végétale,IgE
f54,Patate douce,Aliments d’origine végétale,IgE
f55,Millet commun,Aliments d’origine végétale,IgE
f56,Millet italien,Aliments d’origine végétale,IgE
f57,Millet japonais,Aliments d’origine végétale,IgE
f58,Calmar du pacifique,Aliments d’origine animale,IgE
f59,Pieuvre,Aliments d’origine animale,IgE
f6,Orge ; aliment,Aliments d’origine végétale,IgE
f6g,Orge ; aliment,Aliments d’origine végétale,IgG
f60,Maquereau commun,Aliments d’origine animale,IgE
f61,Sardine,Aliments d’origine animale,IgE
f7,Avoine,Aliments d’origine végétale,IgG
f7,Avoine ; aliment,Aliments d’origine végétale,IgE
f75,Jaune d&rsquo;oeuf,Aliments d’origine animale,IgG4
f75,Oeuf ; Jaune,Aliments d’origine animale,IgE
f75,Jaune d&rsquo;oeuf,Aliments d’origine animale,IgG
f76,A. lactalbumine ; protéines du lait,Aliments d’origine animale,IgG4
f76,A. lactalbumine ; protéines du lait,Aliments d’origine animale,IgE
f76,A. lactalbumine ; protéines du lait,Aliments d’origine animale,IgG
f77,B.lactoglobuline ; protéines du lait,Aliments d’origine animale,IgE
f77,B.lactoglobuline ; protéines du lait,Aliments d’origine animale,IgG
f77,B.lactoglobuline ; protéines du lait,Aliments d’origine animale,IgG4
f78,Caséine ; protéines du lait,Aliments d’origine animale,IgG4
f78,Caséine ; protéines du lait,Aliments d’origine animale,IgG
f78,Caséine ; protéines du lait,Aliments d’origine animale,IgE
f79,Gluten,Aliments d’origine végétale,IgE
f79,Gluten,Aliments d’origine végétale,IgG4
f79,Gluten,Aliments d’origine végétale,IgG
f8,Maïs ; aliment,Aliments d’origine végétale,IgE
f8,Maïs,Aliments d’origine végétale,IgG
f80,Homard,Aliments d’origine animale,IgE
f81,Fromage ; pâte cuite,Aliments d’origine animale,IgE
f81,Fromage (pâte cuite),Aliments d’origine animale,IgG
f82,Fromage (fermenté),Aliments d’origine animale,IgG
f82,Fromage ; fermenté,Aliments d’origine animale,IgE
f83,Poulet (viande),Aliments d’origine animale,IgE
f83,Poulet,Aliments d’origine animale,IgG4
f83,Poulet,Aliments d’origine animale,IgG
f84,Kiwi,Aliments d’origine végétale,IgE
f84,Kiwi,Aliments d’origine végétale,IgG
f84,Kiwi,Aliments d’origine végétale,IgG4
f85,Céleri,Aliments d’origine végétale,IgG4
f85,Céleri,Aliments d’origine végétale,IgE
f86,Persil,Aliments d’origine végétale,IgE
f87,Melon,Aliments d’origine végétale,IgE
f88,Mouton,Aliments d’origine animale,IgE
f89,Moutarde,Aliments d’origine végétale,IgE
f9,Riz,Aliments d’origine végétale,IgG4
f9,Riz ; grain entier ; pollen,Aliments d’origine végétale,IgE
f9,Riz ; grain entier ; pollen,Aliments d’origine végétale,IgG
f90,Malt,Aliments d’origine végétale,IgE
f91,Mangue,Aliments d’origine végétale,IgE
f92,Banane,Aliments d’origine végétale,IgE
f92,Banane,Aliments d’origine végétale,IgG
f92,Banane,Aliments d’origine végétale,IgG4
f93,Cacao,Aliments d’origine végétale,IgE
f93,Cacao,Aliments d’origine végétale,IgG4
f93,Cacao,Aliments d’origine végétale,IgG
f94,Poire,Aliments d’origine végétale,IgE
f95,Pêche,Aliments d’origine végétale,IgE
f96,Avocat,Aliments d’origine végétale,IgE
f96,Avocat,Aliments d’origine végétale,IgG
Ge90,Perruche ; protéines du sérum ; déjections,Perruche ; protéines du sérum ; déjections,IgG
Gm27,Penicillium spp,Microorganismes,IgG
gx1,"Pollens de graminées ; g3, g4, g5, g6, g8",Pollens de graminées,IgE
gx1,"Pollens de graminées (Dactyle, fétuque, ivraie, phléole, paturin)",Pollens de graminées,IgG
gx1,"Pollens de graminées (Dactyle, fétuque, ivraie, phléole, paturin)",Pollens de graminées,IgG4
gx2,"Pollens de graminées ; g2, g5, g6, g8, g10",Pollens de graminées,IgE
gx3,"Pollens de graminées ; g1, g5, g6, g12, g13",Pollens de graminées,IgE
gx3,"Pollens de graminées (Flouve, ivraie, phléole, seigle et houlque)",Pollens de graminées,IgG4
gx4,"Pollens de graminées ; g1, g5, g7, g12, g13",Pollens de graminées,IgE
gx6,"Pollens de graminées ; g2, g5, g10, g11, g13, g17",Pollens de graminées,IgE
g1,Flouve odorante,Pollens de graminées,IgE
g1,Flouve odorante,Pollens de graminées,IgG
g10,Sorgho,Pollens de graminées,IgE
g11,Brome,Pollens de graminées,IgE
g12,Seigle,Pollens de graminées,IgE
g12,Seigle,Pollens de graminées,IgG
g12,Seigle,Pollens de graminées,IgG4
g13,Houlque laineuse,Pollens de graminées,IgG
g13,Houlque laineuse,Pollens de graminées,IgE
g14,Avoine ; pollen-,Pollens de graminées,IgG
g14,Avoine ; pollen,Pollens de graminées,IgE
g14,Avoine,Pollens de graminées,IgG4
g15,Blé ; pollen,Pollens de graminées,IgE
g15,Blé,Pollens de graminées,IgG4
g15,Blé ; pollen,Pollens de graminées,IgG
g16,Vulpin des prés ; Alopecurus pratensis,Pollens de graminées,IgG4
g16,Vulpin des prés,Pollens de graminées,IgE
g17,Herbe de Bahia,Pollens de graminées,IgE
g2,Chiendent,Pollens de graminées,IgG4
g2,Chiendent digité,Pollens de graminées,IgE
g2,Chiendent,Pollens de graminées,IgG
g201,Orge ; pollen,Pollens de graminées,IgE
g202,Maïs ; pollen,Pollens de graminées,IgG
g202,Maïs ; pollen,Pollens de graminées,IgE
g202,Maïs ; pollen,Pollens de graminées,IgG4
