CNAM - CCAM version 78 applicable 01/02/2025,,,,,,,,,,
Code,,Texte,Activité,Phase,"Tarif
Secteur 1 / adhérent OPTAM/OPTAM-ACO
(en euro)","Tarif
Hors secteur 1 / hors adhérent OPTAM/OPTAM-ACO
(en euro)",Rembt. ss Cdtions,Accord Préalable,Exo. TM,Regroupement
AHRP001,,Épreuve de stimulation répétitive d'au moins 2 nerfs pour recherche de bloc de la jonction neuromusculaire,1,0,92.30,68.05,,,2,ATM
,,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
AHQP900,,Mesure du réflexe nociceptif R III,1,0,Non pris en charge,Non pris en charge,,,2,ATM
AHQP016,,Mesure des réflexes H et/ou T,1,0,,,,,2,ATM
,,,,,,,,,,
01.01.01.04,,Électroencéphalographie [EEG],,,,,,,,
,,,,,,,,,,
AAQP007,,Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes sans numérisation et sans enregistrement vidéo,1,0,57.60,57.60,,,2,ATM
"[F, P, S, U]",,Avec ou sans : épreuve pharmacodynamique,,,,,,,,
,,"Formation : spécifique à cet acte en plus de la formation initiale, sauf pour les neurologues",,,,,,,,
AAQP129,,"Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 30 minutes, avec numérisation et enregistrement vidéo, chez un patient de moins de 6 ans",1,0,152.93,152.93,,,2,ATM
"[F, P, S, U]",,Avec ou sans : épreuve pharmacodynamique,,,,,,,,
,,Inclut : enregistrement du sommeil,,,,,,,,
,,"Formation : spécifique à cet acte en plus de la formation initiale, sauf pour les neurologues
Dans le cadre du diagnostic et du suivi d’une épilepsie, l’usage d’un électroencéphalographe numérique est la référence",,,,,,,,
AAQP350,,"Électroencéphalographie sur 14 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes, avec numérisation chez un patient de 6 ans ou plus",1,0,130.46,130.46,,,2,ATM
"[F, P, S, U]",,Avec ou sans : enregistrement vidéo,,,,,,,,
,,Avec ou sans : épreuve pharmacodynamique,,,,,,,,
,,"Formation : spécifique à cet acte en plus de la formation initiale, sauf pour les neurologues 
Dans le cadre du diagnostic et du suivi d’une épilepsie, l’usage d’un électroencéphalographe numérique est la référence",,,,,,,,
AAQP011,,"Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes, au lit du malade ",1,0,86.14,74.15,,,2,ATM
"[F, P, S, U]",,Avec ou sans : épreuve pharmacodynamique,,,,,,,,
,,"Formation : spécifique à cet acte en plus de la formation initiale, sauf pour les neurologues",,,,,,,,
,,(YYYY456),,,,,,,,
AAQP006,,"Électroencéphalographie de longue durée de 1 à 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo",1,0,142.40,106.78,,,2,ATM
,,Environnement : spécifique : personnel spécialement formé et plateau technique spécialement dédié,,,,,,,,
AAQP010,,"Électroencéphalographie de longue durée de plus de 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo",1,0,237.33,161.84,,,2,ATM
,,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,Environnement : spécifique : personnel spécialement formé et plateau technique spécialement dédié.,,,,,,,,
AAQP002,,"Électroencéphalographie continue ambulatoire sur 8 dérivations ou plus, pendant au moins 24 heures [Holter EEG]",1,0,213.60,148.08,,,2,ATM
,,"Formation : spécifique à cet acte en plus de la formation initiale, sauf pour les neurologues",,,,,,,,
,,Environnement : spécifique,,,,,,,,
AAQP009,,"Électroencéphalographie avec quantification, sur 32 dérivations ou plus",1,0,94.93,79.25,,,2,ATM
,,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,Recueil prospectif de données : nécessaire,,,,,,,,
AAQP900,,"Électroencéphalographie avec modélisation de sources, sur 32 dérivations ou plus",1,0,Non pris en charge,Non pris en charge,,,2,ATM
,,,,,,,,,,
01.01.01.05,,Surveillances électrocorticographique et électroencéphalographique,,,,,,,,
,,Avec ou sans : stimulation,,,,,,,,
,,,,,,,,,,
AALA002,,"Implantation d’électrode subdurale pour enregistrement électrocorticographique, par craniotomie",1,0,276.74,276.74,,,1,ADC
"[A, J, K, T, 3]",,anesthésie,4,0,181.23,181.23,,,1,ADA
,,"(GELE001, YYYY189)",,,,,,,,
AALB002,,"Implantation d’électrode intracérébrale pour enregistrement électroencéphalographique, par voie stéréotaxique",1,0,627.00,627.00,,,1,ATM
"[A, J, K, T, 3]",,anesthésie,4,0,265.80,265.80,,,1,ADA
,,"(EZQH004, GELE001, YYYY105, YYYY189, YYYY300)",,,,,,,,
AAQP013,,"Surveillance électrocorticographique continue avec enregistrement vidéo, par 24 heures",1,0,351.60,260.38,,,2,ATM
[F],,,,,,,,,,
AAQP003,,"Surveillance électroencéphalographique continue sans enregistrement vidéo, par 24 heures",1,0,81.75,71.61,,,2,ATM
[F],,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,Environnement : spécifique : personnel spécialement formé et plateau technique spécialement dédié,,,,,,,,
,,"Facturation : ne peut pas être facturé avec un forfait de réanimation (YYYY015, YYYY020)",,,,,,,,
AAQP012,,"Surveillance électroencéphalographique continue avec enregistrement vidéo, par 24 heures",1,0,351.60,260.38,,,2,ATM
[F],,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,Environnement : spécifique : personnel spécialement formé et plateau technique spécialement dédié.,,,,,,,,
,,,,,,,,,,
01.01.01.06,,Polysomnographie,,,,,,,,
,,"La polysomnographie inclut la réalisation simultanée d'une électroencéphalographie sur une ou deux dérivations, d'une électrooculographie sur une ou deux dérivations, électromyographie mentonnière sur une dérivation, ainsi que de l'un des enregistrements suivants :
- électroencéphalographie sur au moins 8 dérivations supplémentaires,
- électromyographie sur au moins 2 dérivations supplémentaires,
- paramètres physiologiques cardiorespiratoires (bruits, flux et efforts respiratoires, SaO2, fréquence cardiaque).",,,,,,,,
,,Avec ou sans : détermination des réglages d'un appareil respiratoire à pression positive continue [PPC] et leur adaptation manuelle.,,,,,,,,
,,"Indication : diagnostic, contrôle et adaptation du syndrome d'apnée du sommeil, diagnostic de la narcolepsie avec ou sans catalepsie",,,,,,,,
,,"Facturation : diagnostic initial, examen de contrôle après un délai de 3 mois, éventuel examen annuel de contrôle",,,,,,,,
,,,,,,,,,,
AMQP009,,Évaluation diurne de la vigilance ou de l'endormissement par épreuves itératives,1,0,123.06,107.66,,,2,ATM
,,"Formation : spécifique à cet acte en plus de la formation initiale, sauf pour les neurologues et les pneumologues",,,,,,,,
,,Environnement : spécifique,,,,,,,,
AMQP010,,"Polysomnographie de 4 à 8 heures, sans enregistrement vidéo",1,0,136.32,136.32,,,2,ATM
,,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,Environnement : spécifique,,,,,,,,
AMQP011,,"Polysomnographie de 4 à 8 heures, avec enregistrement vidéo",1,0,136.32,136.32,,,2,ATM
,,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,Environnement : spécifique,,,,,,,,
AMQP012,,"Polysomnographie de 8 à 12 heures, sans enregistrement vidéo",1,0,217.99,183.69,,,2,ATM
,,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,Environnement : spécifique,,,,,,,,
AMQP013,,"Polysomnographie de 8 à 12 heures, avec enregistrement vidéo",1,0,217.99,183.69,,,2,ATM
,,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,Environnement : spécifique,,,,,,,,
AMQP014,,"Polysomnographie de 12 à 24 heures, sans enregistrement vidéo",1,0,250.52,202.56,,,2,ATM
,,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,Environnement : spécifique,,,,,,,,
AMQP015,,"Polysomnographie de 12 à 24 heures, avec enregistrement vidéo",1,0,250.52,202.56,,,2,ATM
,,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,Environnement : spécifique,,,,,,,,
,,,,,,,,,,
01.01.01.07,,Autres explorations électrophysiologiques du système nerveux,,,,,,,,
,,,,,,,,,,
AJQP001,,Mesure des réponses cutanées sympathiques par électrode de surface,1,0,,,,,2,ATM
,,,,,,,,,,
01.01.02,,Étude des pressions du système nerveux,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
01.01.02.01,,Pose et ablation de dispositif de mesure des pressions du système nerveux,,,,,,,,
,,La pose d'un capteur de pression du liquide cérébrospinal inclut la mesure initiale de la pression.,,,,,,,,
,,,,,,,,,,
ABLB001,,"Pose d'un cathéter ventriculaire cérébral par voie transcrânienne, avec mesure instantanée de la pression intracrânienne et tests dynamiques",1,0,112.94,100.62,,,1,ADC
"[J, K, T]",,"(ACQP002, ZZLP025)",,,,,,,,
ABLB002,,"Pose d'un capteur ventriculaire de pression intracrânienne, par voie transcrânienne",1,0,119.46,104.40,,,1,ADC
"[F, J, K, T, P, S, U]",,(ZZLP030),,,,,,,,
ABLB003,,"Pose d'un capteur extraventriculaire de pression intracrânienne, par voie transcrânienne",1,0,98.46,92.22,,,1,ADC
"[F, J, K, T, P, S, U, O]",,(ZZLP030),,,,,,,,
AFLB004,,"Pose d'un cathéter intrathécal spinal par voie lombale transcutanée, avec mesure instantanée de la pression du liquide cérébrospinal et tests dynamiques",1,0,104.50,104.50,,,1,ADC
,,(ZZLP025),,,,,,,,
ABGA001,,Ablation d'un capteur de pression intracrânienne,1,0,,,,,1,ADC
,,(ZZLP025),,,,,,,,
,,,,,,,,,,
01.01.02.02,,Surveillance continue de la pression intracrânienne,,,,,,,,
,,,,,,,,,,
ABQP001,,"Surveillance continue de la pression intracrânienne, par 24 heures",1,0,,,,,2,ATM
,,,,,,,,,,
01.01.03,,Échographie du système nerveux,,,,,,,,
,,A l'exclusion de : échographie et/ou échographie-doppler de contrôle ou surveillance de pathologie (chapitre 19),,,,,,,,
,,,,,,,,,,
AAQM002,,Échographie transfontanellaire de l'encéphale,1,0,37.80,37.80,,,2,ADE
"[F, P, S, U]",,(ZZQM005),,,,,,,,
AEQM001,,Échographie transcutanée de la moelle épinière,1,0,37.80,37.80,,,2,ADE
"[F, P, S, U]",,,,,,,,,,
,,,,,,,,,,
01.01.04,,Radiographie du système nerveux,,,,,,,,
,,,,,,,,,,
AEQH002,,Myélographie cervicale,1,0,106.40,106.40,,,2,ADI
"[E, F, P, S, U, Y, Z]",,(YYYY057),,,,,,,,
AEQH001,,Myélographie dorsale et/ou lombale,1,0,106.40,106.40,,,2,ADI
"[E, F, P, S, U, Y, Z]",,Avec ou sans : saccoradiculographie,,,,,,,,
,,(YYYY057),,,,,,,,
AFQH003,,Myélographie avec scanographie de la colonne vertébrale [Myéloscanner],1,0,106.40,106.40,,,1,ADI
"[E, F, P, S, U, Y, Z]",,"(YYYY057, ZZLP025, ZZQP004)",,,,,,,,
AFQH002,,Saccoradiculographie,1,0,106.40,106.40,,,2,ADI
"[E, F, P, S, U, Y, Z]",,(YYYY057),,,,,,,,
AFQH001,,Saccoradiculographie avec scanographie de la colonne vertébrale,1,0,106.40,106.40,,,1,ADI
"[E, F, P, S, U, Y, Z]",,"(YYYY057, ZZLP025, ZZQP004)",,,,,,,,
,,,,,,,,,,
01.01.05,,Scanographie du système nerveux,,,,,,,,
,,,,,,,,,,
ACQK001,,"Scanographie du crâne et de son contenu, sans injection de produit de contraste",1,0,25.27,25.27,,,2,ADI
"[E, F, P, S, U, Y, Z]",,"À l'exclusion de : scanographie unilatérale ou bilatérale
- de la partie pétreuse de l'os temporal [rocher] (LAQK002) 
- de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne] (LAQK011)",,,,,,,,
,,"(ZZLP025, ZZQP004, YYYY600)",,,,,,,,
ACQH003,,"Scanographie du crâne et de son contenu, avec injection intraveineuse de produit de contraste",1,0,25.27,25.27,,,2,ADI
"[E, F, P, S, U, Y, Z]",,"À l'exclusion de : scanographie unilatérale ou bilatérale
- de la partie pétreuse de l'os temporal [rocher] (LAQK002) 
- de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne] (LAQK011)",,,,,,,,
,,"(ZZLP025, ZZQP004, YYYY600)",,,,,,,,
ACQH001,,"Scanographie du crâne et de son contenu, avec injection intrathécale de produit de contraste [Cysternoscanner]",1,0,25.27,25.27,,,2,ADI
"[E, F, P, S, U, Y, Z]",,"(ZZLP025, ZZQP004, YYYY600)",,,,,,,,
ACQK003,,Scanographie du crâne et de son contenu et/ou du massif facial pour repérage stéréotaxique,1,0,25.27,25.27,,,2,ADI
"[E, F, P, S, U, Y, Z]",,"(ZZLP025, YYYY600)",,,,,,,,
ACQH002,,"Scanographie du crâne, de son contenu et du thorax, avec injection intraveineuse de produit de contraste",1,0,50.54,50.54,,,2,ADI
"[E, F, P, S, U, Y, Z]",,"(ZZLP025, ZZQP004, YYYY600)",,,,,,,,
ACQH004,,"Scanographie du crâne, de son contenu et du tronc, avec injection intraveineuse de produit de contraste",1,0,50.54,50.54,,,2,ADI
"[E, F, P, S, U, Y, Z]",,"(ZZLP025, ZZQP004, YYYY600)",,,,,,,,
,,,,,,,,,,
01.01.06,,Remnographie [IRM] du système nerveux,,,,,,,,
,,,,,,,,,,
ACQN001,,"Remnographie [IRM] du crâne et de son contenu, sans injection intraveineuse de produit de contraste",1,0,69.00,69.00,,,2,ADI
"[F, P, S, U]",,"(ZZLP025, ZZQN002, YYYY600)",,,,,,,,
ACQJ002,,"Remnographie [IRM] du crâne et de son contenu, avec injection intraveineuse de produit de contraste",1,0,69.00,69.00,,,2,ADI
"[F, P, S, U]",,"(ZZLP025, ZZQN002,YYYY600)",,,,,,,,
ACQN003,,Remnographie [IRM] du crâne et de son contenu pour procédure stéréotaxique,1,0,69.00,69.00,,,2,ADI
,,À l'exclusion de : remnographie du crâne et de son contenu et/ou du massif facial pour planification dosimétrique (ACQN002),,,,,,,,
,,"(ZZLP025, YYYY600)",,,,,,,,
ACQN002,,Remnographie [IRM] du crâne et de son contenu et/ou du massif facial pour planification dosimétrique,1,0,69.00,69.00,,,2,ADI
,,Acquisition des données anatomiques pour étude conformationnelle par remnographie du crâne et de son contenu,,,,,,,,
,,"(ZZLP025, YYYY600)",,,,,,,,
ACQN004,,"Remnographie [IRM] du crâne et de son contenu, avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion",1,0,69.00,69.00,,,2,ADI
"[F, P, S, U]",,(YYYY600),,,,,,,,
ACQJ001,,"Remnographie [IRM] du crâne et de son contenu avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion, avec remnographie des vaisseaux [angio-IRM] cervicocéphaliques",1,0,69.00,69.00,,,2,ADI
"[F, P, S, U]",,(YYYY600),,,,,,,,
AAQN004,,Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions motrices,1,0,69.00,69.00,,,2,ADI
,,Indication : localisation des aires motrices corticales,,,,,,,,
,,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,Environnement : spécifique,,,,,,,,
,,"(ZZQN002, YYYY600)",,,,,,,,
AAQN900,,Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions visuelles,1,0,Non pris en charge,Non pris en charge,,,2,ADI
,,(ZZQN002),,,,,,,,
AAQN901,,Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions phasiques,1,0,Non pris en charge,Non pris en charge,,,2,ADI
,,(ZZQN002),,,,,,,,
,,,,,,,,,,
01.01.07,,Spectroscopie du système nerveux par résonance magnétique [SRM],,,,,,,,
,,,,,,,,,,
AAQN902,,Spectroscopie par résonance magnétique cérébrale protonique [Chemical shift imaging] [CSI],1,0,Non pris en charge,Non pris en charge,,,2,ADI
,,À l'exclusion de : spectroscopie par résonance magnétique cérébrale protonique localisée (AAQN002),,,,,,,,
,,(ZZQN002),,,,,,,,
AAQN002,,Spectroscopie par résonance magnétique cérébrale protonique localisée,1,0,Non pris en charge,Non pris en charge,,,2,ADI
,,(ZZQN002),,,,,,,,
AAQN903,,Spectroscopie par résonance magnétique cérébrale du phosphore,1,0,Non pris en charge,Non pris en charge,,,2,ADI
,,(ZZQN002),,,,,,,,
,,,,,,,,,,
01.01.08,,Scintigraphie du système nerveux,,,,,,,,
,,,,,,,,,,
ACQL007,,Tomoscintigraphie de perfusion cérébrale sans test d'activation,1,0,274.25,274.25,,,2,ADI
[G],,(ZZQL017),,,,,,,,
ACQL005,,Tomoscintigraphie de perfusion cérébrale avec test d'activation et quantification complexe,1,0,327.30,327.30,,,2,ADI
[G],,,,,,,,,,
ACQL008,,Tomoscintigraphie de perfusion cérébrale après épreuve pharmacodynamique,1,0,274.25,274.25,,,2,ADI
[G],,(ZZQL017),,,,,,,,
ACQL004,,Tomoscintigraphie de perfusion cérébrale en période critique,1,0,274.25,274.25,,,2,ADI
[G],,(ZZQL017),,,,,,,,
ACQL001,,Tomoscintigraphie cérébrale à l'aide de marqueur de la neurotransmission et/ou du métabolisme,1,0,268.87,268.87,,,2,ADI
[G],,(ZZQL017),,,,,,,,
ACQL003,,Tomoscintigraphie cérébrale pour diagnostic et bilan de tumeur cérébrale,1,0,268.87,268.87,,,2,ADI
[G],,"Tomoscintigraphie cérébrale précoce et tardive pour le diagnostic de localisation et de stade de tumeur cérébrale, avec quantification de fixation",,,,,,,,
ACQL002,,Tomoscintigraphie cérébrale par émission de positons,1,0,89.54,89.54,,,2,ADI
[G],,Indication : bilan préopératoire d’une épilepsie réfractaire au traitement médical,,,,,,,,
,,Environnement : spécifique,,,,,,,,
,,Recueil prospectif de données : nécessaire,,,,,,,,
ABQL002,,Cisternographie radio-isotopique,1,0,279.63,279.63,,,2,ADI
[G],,,,,,,,,,
ABQL003,,Recherche radio-isotopique d'une brèche ostéoméningée,1,0,138.15,138.15,,,2,ADI
[G],,,,,,,,,,
ABML001,,Vérification radio-isotopique d'une dérivation du liquide cérébrospinal,1,0,138.15,138.15,,,2,ADI
[G],,,,,,,,,,
,,,,,,,,,,
01.01.09,,Épreuves fonctionnelles du système nerveux,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
01.01.09.01,,Potentiels évoqués visuels [PEV],,,,,,,,
,,,,,,,,,,
BLQP001,,Enregistrement des potentiels évoqués visuels avec stimulation par flash lumineux,1,0,53.76,53.76,,,2,ATM
"[F, P, S, U]",,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
BLQP009,,Enregistrement des potentiels évoqués visuels par inversion du stimulus de contraste,1,0,65.93,60.82,,,2,ATM
"[F, P, S, U]",,Avec ou sans : stimulation par flash lumineux,,,,,,,,
,,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,,,,,,,,,
01.01.09.02,,Potentiels évoqués auditifs [PEA] et vestibulaires,,,,,,,,
,,,,,,,,,,
CDQP017,,Enregistrement des potentiels évoqués auditifs précoces pour étude des temps de conduction et mesure des amplitudes,1,0,57.60,57.60,,,2,ATM
"[F, P, S, U]",,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
CDQP006,,"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sans anesthésie générale",1,0,96.00,96.00,,,2,ATM
"[F, P, S, U]",,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
CDQP014,,"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sous anesthésie générale",1,0,96.00,96.00,,,1,ATM
"[A, F, P, S, U, 7, 3]",,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,Environnement : spécifique : bloc opératoire avec présence de l'anesthésiste,,,,,,,,
,,anesthésie,4,0,60.31,60.31,,,1,ADA
,,(GELE001),,,,,,,,
CDQP008,,Enregistrement des potentiels évoqués auditifs de moyennes et de longues latences avec mesure des amplitudes et latences des réponses,1,0,96.00,96.00,,,2,ATM
"[F, P, S, U]",,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
CEQP008,,Enregistrement des potentiels évoqués vestibulaires d’origine sacculaire [potentiels évoqués otolithiques] [potentiels évoqués sacculocolliques] par électromyographie,1,0,57.60,57.60,,,2,ATM
"[F, P, S, U]",,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
,,,,,,,,,,
01.01.09.03,,Potentiels évoqués somesthésiques cérébraux [PESc],,,,,,,,
,,,,,,,,,,
ANQP004,,Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale d'un ou de 2 nerfs des membres supérieurs ou inférieurs,1,0,81.75,71.61,,,2,ATM
"[F, P, S, U]",,Formation : spécifique à cet acte en plus de la formation initiale,,,,,,,,
ANQP006,,Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale de 3 nerfs ou plus des membres supérieurs et inférieurs,1,0,134.49,102.20,,,2,ATM
